rank,title,year,worldwide_box_office,domestic_box_office,foreign_box_office,movie_url
99,Venom,"$642,569,655","$856,085,161","$213,515,506",24.9%,https://www.boxofficemojo.com/title/tt1270797/?ref_=bo_cso_table_99
100,Thor: Ragnarok,"$540,243,517","$855,301,806","$315,058,289",36.8%,https://www.boxofficemojo.com/title/tt3501632/?ref_=bo_cso_table_100
101,Guardians of the Galaxy Vol. 3,"$486,559,962","$845,555,777","$358,995,815",42.5%,https://www.boxofficemojo.com/title/tt6791350/?ref_=bo_cso_table_101
102,Inception,"$547,209,297","$839,796,627","$292,587,330",34.8%,https://www.boxofficemojo.com/title/tt1375666/?ref_=bo_cso_table_102
103,Transformers: Revenge of the Fallen,"$434,192,297","$836,304,167","$402,111,870",48.1%,https://www.boxofficemojo.com/title/tt1055369/?ref_=bo_cso_table_103
104,Mission: Impossible - Fallout,"$604,012,270","$824,171,374","$220,159,104",26.7%,https://www.boxofficemojo.com/title/tt4912910/?ref_=bo_cso_table_104
105,Wonder Woman,"$411,125,510","$823,970,682","$412,845,172",50.1%,https://www.boxofficemojo.com/title/tt0451279/?ref_=bo_cso_table_105
106,Coco,"$612,825,823","$823,285,838","$210,460,015",25.6%,https://www.boxofficemojo.com/title/tt2380307/?ref_=bo_cso_table_106
107,"Hi, Mom","$822,009,764","$822,009,764",-,-,https://www.boxofficemojo.com/title/tt13364790/?ref_=bo_cso_table_107
108,Independence Day,"$511,231,623","$817,400,891","$306,169,268",37.5%,https://www.boxofficemojo.com/title/tt0116629/?ref_=bo_cso_table_108
109,Fantastic Beasts and Where to Find Them,"$582,000,000","$816,037,575","$234,037,575",28.7%,https://www.boxofficemojo.com/title/tt3183660/?ref_=bo_cso_table_109
110,Spider-Man,"$402,400,432","$810,925,307","$408,524,875",50.4%,https://www.boxofficemojo.com/title/tt0145487/?ref_=bo_cso_table_110
111,Harry Potter and the Prisoner of Azkaban,"$559,899,333","$810,556,919","$250,657,586",30.9%,https://www.boxofficemojo.com/title/tt0304141/?ref_=bo_cso_table_111
112,Shrek the Third,"$485,590,243","$808,310,187","$322,719,944",39.9%,https://www.boxofficemojo.com/title/tt0413267/?ref_=bo_cso_table_112
113,Jumanji: The Next Level,"$481,378,969","$801,693,929","$320,314,960",40%,https://www.boxofficemojo.com/title/tt7975244/?ref_=bo_cso_table_113
114,The Da Vinci Code,"$583,813,720","$801,349,858","$217,536,138",27.2%,https://www.boxofficemojo.com/title/tt0382625/?ref_=bo_cso_table_114
115,E.T. the Extra-Terrestrial,"$357,852,418","$797,307,407","$439,454,989",55.1%,https://www.boxofficemojo.com/title/tt0083866/?ref_=bo_cso_table_115
116,Pirates of the Caribbean: Dead Men Tell No Tales,"$623,363,422","$795,922,298","$172,558,876",21.7%,https://www.boxofficemojo.com/title/tt1790809/?ref_=bo_cso_table_116
117,2012,"$625,105,659","$791,217,826","$166,112,167",21%,https://www.boxofficemojo.com/title/tt1190080/?ref_=bo_cso_table_117
118,Fast & Furious 6,"$550,003,492","$788,683,342","$238,679,850",30.3%,https://www.boxofficemojo.com/title/tt1905041/?ref_=bo_cso_table_118
119,Spider-Man 2,"$413,165,651","$788,253,491","$375,087,840",47.6%,https://www.boxofficemojo.com/title/tt0316654/?ref_=bo_cso_table_119
120,Indiana Jones and the Kingdom of the Crystal Skull,"$469,534,914","$786,636,033","$317,101,119",40.3%,https://www.boxofficemojo.com/title/tt0367882/?ref_=bo_cso_table_120
121,Deadpool 2,"$461,304,897","$785,896,632","$324,591,735",41.3%,https://www.boxofficemojo.com/title/tt5463162/?ref_=bo_cso_table_121
122,Deadpool,"$419,766,638","$782,837,347","$363,070,709",46.4%,https://www.boxofficemojo.com/title/tt1431045/?ref_=bo_cso_table_122
123,Star Wars: Episode IV - A New Hope,"$314,400,000","$775,398,507","$460,998,507",59.4%,https://www.boxofficemojo.com/title/tt0076759/?ref_=bo_cso_table_123
124,Interstellar,"$571,332,998","$774,560,578","$203,227,580",26.2%,https://www.boxofficemojo.com/title/tt0816692/?ref_=bo_cso_table_124
125,No Time to Die,"$613,262,000","$774,153,007","$160,891,007",20.8%,https://www.boxofficemojo.com/title/tt2382320/?ref_=bo_cso_table_125
126,Guardians of the Galaxy,"$439,631,776","$773,350,376","$333,718,600",43.2%,https://www.boxofficemojo.com/title/tt2015381/?ref_=bo_cso_table_126
127,The Batman,"$402,973,732","$772,775,278","$369,801,546",47.8%,https://www.boxofficemojo.com/title/tt1877830/?ref_=bo_cso_table_127
128,Thor: Love and Thunder,"$417,671,251","$760,928,081","$343,256,830",45.1%,https://www.boxofficemojo.com/title/tt10648342/?ref_=bo_cso_table_128
129,Fast & Furious Presents: Hobbs & Shaw,"$586,775,991","$760,732,926","$173,956,935",22.9%,https://www.boxofficemojo.com/title/tt6806448/?ref_=bo_cso_table_129
130,The Twilight Saga: Eclipse,"$459,786,854","$760,627,618","$300,840,764",39.6%,https://www.boxofficemojo.com/title/tt1325004/?ref_=bo_cso_table_130
131,Maleficent,"$518,443,307","$759,853,685","$241,410,378",31.8%,https://www.boxofficemojo.com/title/tt1587310/?ref_=bo_cso_table_131
132,The Hunger Games: Mockingjay - Part 1,"$421,710,450","$758,846,335","$337,135,885",44.4%,https://www.boxofficemojo.com/title/tt1951265/?ref_=bo_cso_table_132
133,Wicked,"$283,806,082","$758,790,057","$474,983,975",62.6%,https://www.boxofficemojo.com/title/tt1262426/?ref_=bo_cso_table_133
134,The Amazing Spider-Man,"$495,943,541","$758,725,893","$262,782,352",34.6%,https://www.boxofficemojo.com/title/tt0948470/?ref_=bo_cso_table_134
135,Shrek Forever After,"$513,864,080","$752,600,867","$238,736,787",31.7%,https://www.boxofficemojo.com/title/tt0892791/?ref_=bo_cso_table_135
136,Suicide Squad,"$424,100,000","$749,200,054","$325,100,054",43.4%,https://www.boxofficemojo.com/title/tt1386697/?ref_=bo_cso_table_136
137,Madagascar 3: Europe's Most Wanted,"$530,529,792","$746,921,274","$216,391,482",29%,https://www.boxofficemojo.com/title/tt1277953/?ref_=bo_cso_table_137
